start,end,sender,receiver,contradiction,proof,cues,category,intended,intention_decoded
365,370,MRSGUMP,OLDMEN,1,PAST,RHETORICALQ TONECHANGE,IRONY,1,
376,381,MRSGUMP,FORRESTJR,1,PAST,RAISEDEYEBROW,,0,0
466,475,MAN,MRSGUMP,0,IMMEDIATE,RAISEDEYEBROW,,,
478,484,MRSGUMP,MAN,0,IMMEDIATE,EYEROLLING RAISEDEYEBROW RHETORICALQ UNDERSTATEMENT,,,
488,492,MRSGUMP,MAN,1,PAST,RAISEDEYEBROW TONECHANGE,IRONY,1,1
542,544,MAN,FORRESTJR,0,IMMEDIATE PAST,RHETORICALQ,,,
571,577,MRSGUMP,FORRESTJR,1,PAST,,LIE,1,0
709,712,FORREST,WOMAN,0,PAST,RAISEDEYEBROW,,,
726,727,WOMAN,FORRESTJR,0,IMMEDIATE,RHETORICALQ,,,
755,757,BOY,FORRESTJR,1,IMMEDIATE,,LIE,1,
759,760,BOY,FORRESTJR,1,IMMEDIATE,,LIE,1,
804,807,JENNY,FORRESTJR,0,IMMEDIATE,RHETORICALQ,,,
831,833,JENNY,FORRESTJR,1,IMMEDIATE,EXAGGERATION RHETORICALQ,IRONY,1,
904,906,BOY,FORRESTJR,1,IMMEDIATE PAST,RHETORICALQ,IRONY,1,0
1038,1043,FORRESTVO,,0,IMMEDIATE,PAUSE,,,
1047,1052,FORRESTVO,,1,PAST,,,0,
1152,1154,BOY,FORRESTJR,1,IMMEDIATE,RHETORICALQ TONECHANGE,IRONY,1,
1199,1201,FORREST,WOMAN,0,IMMEDIATE,RAISEDEYEBROW TONECHANGE,,,
1231,1235,MAN,MAN,0,PAST,LAUGH,,,
1409,1410,JENNY,FORREST,0,IMMEDIATE PAST,RHETORICALQ,,,
1661,1662,MAN,FORREST,0,IMMEDIATE PAST,RHETORICALQ TONECHANGE,,,
1671,1672,MAN,FORREST,1,IMMEDIATE,,LIE,1,
1675,1675,MAN,FORREST,1,IMMEDIATE,,LIE,1,
1765,1776,MAN,FORREST,1,IMMEDIATE PAST,EXAGGERATION TONECHANGE,,,
1973,1978,FORRESTVO,,1,IMMEDIATE,,,0,
2246,2249,DAN,BUBBA,1,PAST,EXAGGERATION,IRONY,1,
2255,2256,DAN,FORREST BUBBA,1,IMMEDIATE,LAUGH RHETORICALQ,IRONY,1,0
2937,2940,BUBBA,FORREST,1,IMMEDIATE,PAUSE TEMPOCHANGE TONECHANGE,,0,1
2951,2953,BUBBA,FORREST,1,IMMEDIATE,PAUSE TONECHANGE,,0,
2968,2972,BUBBA,FORREST,1,IMMEDIATE,TONECHANGE,,0,
3245,3248,FORRESTVO,,1,IMMEDIATE,,,0,
3317,3318,MAN,FORREST,1,IMMEDIATE,RAISEDEYEBROW,IRONY,1,0
3388,3390,FORRESTVO,,1,IMMEDIATE,PAUSE UNDERSTATEMENT,,0,
3764,3766,FORRESTVO,,1,PAST,,,0,
3939,3941,FORREST,MAN,0,IMMEDIATE PAST,RAISEDEYEBROW,,,
4059,4061,DAN,FORREST,1,IMMEDIATE,PAUSE RAISEDEYEBROW TEMPOCHANGE TONECHANGE,IRONY,1,
4104,4108,DAN,MAN,1,IMMEDIATE,RHETORICALQ TONECHANGE,,0,
4197,4212,DAN,FORREST,1,IMMEDIATE,RAISEDEYEBROW TONECHANGE,IRONY,1,
4249,4262,DAN,CROWD,1,IMMEDIATE PAST,EXAGGERATION LAUGH TONECHANGE,IRONY,1,
4264,4268,DAN,FORREST,1,PAST,EXAGGERATION LAUGH TONECHANGE,IRONY,1,
4384,4390,FORREST,MAN,0,IMMEDIATE,EXAGGERATION EYEROLLING,,,
4415,4421,FORREST,MAN,1,IMMEDIATE,,,0,0
4518,4525,MRSGUMP,FORREST,0,IMMEDIATE,RAISEDEYEBROW TONECHANGE,,,
4555,4559,WOMAN,FORREST,1,IMMEDIATE PAST,PAUSE RHETORICALQ TONECHANGE,IRONY,1,0
4598,4602,OLDMAN,FORREST,1,IMMEDIATE PAST,PAUSE RHETORICALQ,IRONY,1,0
4662,4664,OLDMAN,FORREST,1,IMMEDIATE,LAUGH PAUSE TONECHANGE,IRONY,1,
4865,4868,FORREST,DAN,0,IMMEDIATE,LAUGH,,,
4869,4873,DAN,FORREST,1,IMMEDIATE PAST,PAUSE,IRONY,1,0
4899,4900,FORREST,DAN,0,IMMEDIATE,LAUGH,,,
4944,4947,FORREST,DAN,0,,LAUGH,,,
4971,4973,DAN,FORREST,1,PAST,PAUSE RAISEDEYEBROW TONECHANGE,IRONY,1,0
5042,5043,DAN,,1,IMMEDIATE,RHETORICALQ TONECHANGE,,0,
5127,5131,MAN,FORREST,0,IMMEDIATE,EXAGGERATION LAUGH TONECHANGE,,,
5134,5136,MAN,WOMAN,1,IMMEDIATE,EXAGGERATION LAUGH TONECHANGE,IRONY,1,
5245,5248,FORRESTVO,,1,IMMEDIATE PAST,,,0,
5847,5850,WOMAN,FORREST,0,IMMEDIATE,RAISEDEYEBROW,,,
